# BB 2021 - Prova A - Escriturario / Agente Comercial - GABARITO 1
# Selecao externa 2021/001 - Edital 01 - prova realizada em 26/09/2021
# Transcrito a mao da imagem oficial do gabarito, conferido linha a linha.
numero,resposta,anulada
1,C,
2,D,
3,B,
4,D,
5,E,
6,C,
7,B,
8,E,
9,D,
10,E,
11,B,
12,C,
13,E,
14,D,
15,C,
16,A,
17,D,
18,E,
19,D,
20,C,
21,B,
22,A,
23,B,
24,C,
25,A,
26,C,
27,A,
28,C,
29,A,
30,B,
31,C,
32,E,
33,A,
34,C,
35,D,
36,D,
37,A,
38,C,
39,B,
40,E,
41,C,
42,B,
43,D,
44,C,
45,D,
46,C,
47,D,
48,B,
49,B,
50,A,
51,A,
52,C,
53,E,
54,E,
55,B,
56,E,
57,C,
58,B,
59,D,
60,E,
61,B,
62,C,
63,D,
64,A,
65,B,
66,E,
67,A,
68,B,
69,C,
70,A,
