# BB 2021 - Prova B - Escriturario / Agente Comercial - GABARITO 1
# Transcrito a mao da imagem oficial do gabarito, conferido linha a linha.
numero,resposta,anulada
1,D,
2,C,
3,C,
4,D,
5,C,
6,B,
7,C,
8,A,
9,E,
10,E,
11,D,
12,C,
13,B,
14,D,
15,B,
16,A,
17,E,
18,C,
19,E,
20,A,
21,C,
22,A,
23,B,
24,B,
25,C,
26,E,
27,A,
28,D,
29,A,
30,A,
31,D,
32,B,
33,A,
34,E,
35,E,
36,B,
37,A,
38,C,
39,C,
40,D,
41,D,
42,A,
43,D,
44,E,
45,A,
46,B,
47,D,
48,E,
49,C,
50,D,
51,A,
52,B,
53,C,
54,D,
55,D,
56,B,
57,D,
58,E,
59,E,
60,C,
61,B,
62,B,
63,D,
64,D,
65,E,
66,C,
67,A,
68,B,
69,E,
70,A,
