# BB 2021 - Prova C - Escriturario / Agente Comercial - GABARITO 1
# Transcrito a mao da imagem oficial do gabarito, conferido linha a linha.
numero,resposta,anulada
1,C,
2,D,
3,C,
4,A,
5,A,
6,B,
7,D,
8,D,
9,E,
10,C,
11,D,
12,E,
13,B,
14,D,
15,B,
16,A,
17,D,
18,B,
19,D,
20,D,
21,D,
22,B,
23,D,
24,C,
25,A,
26,C,
27,A,
28,D,
29,E,
30,C,
31,E,
32,D,
33,A,
34,C,
35,D,
36,B,
37,D,
38,B,
39,C,
40,C,
41,E,
42,B,
43,A,
44,E,
45,E,
46,D,
47,A,
48,D,
49,B,
50,D,
51,D,
52,A,
53,A,
54,A,
55,A,
56,C,
57,E,
58,D,
59,D,
60,E,
61,E,
62,B,
63,C,
64,E,
65,A,
66,E,
67,B,
68,A,
69,D,
70,B,
